"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",21
"2","engine","stan",21
"3","split_dates","FALSE",21
"4","keep_mcmcs","TRUE",21
"5","keep_mcmc_data","TRUE",21
"6","day_start","4",21
"7","day_end","28",21
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",21
"9","required_timestep","NA",21
"10","K600_lnQ_nodes_centers","-3:3",21
"11","GPP_daily_mu","3",21
"12","GPP_daily_lower","-Inf",21
"13","GPP_daily_sigma","2",21
"14","ER_daily_mu","-7.1",21
"15","ER_daily_upper","Inf",21
"16","ER_daily_sigma","7.1",21
"17","K600_lnQ_nodediffs_sdlog","0.5",21
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",21
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",21
"20","K600_daily_sigma_sigma","0.24",21
"21","err_obs_iid_sigma_scale","0.03",21
"22","err_proc_iid_sigma_scale","5",21
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",21
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",21
"25","n_chains","4",21
"26","n_cores","12",21
"27","burnin_steps","288",21
"28","saved_steps","287",21
"29","thin_steps","1",21
"30","verbose","FALSE",21
"31","init.K600.daily","35.22",21
"32","Station 2 Time","14.8 mins",21
