"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",28
"2","engine","stan",28
"3","split_dates","FALSE",28
"4","keep_mcmcs","TRUE",28
"5","keep_mcmc_data","TRUE",28
"6","day_start","4",28
"7","day_end","28",28
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",28
"9","required_timestep","NA",28
"10","K600_lnQ_nodes_centers","-3:3",28
"11","GPP_daily_mu","3",28
"12","GPP_daily_lower","-Inf",28
"13","GPP_daily_sigma","2",28
"14","ER_daily_mu","-7.1",28
"15","ER_daily_upper","Inf",28
"16","ER_daily_sigma","7.1",28
"17","K600_lnQ_nodediffs_sdlog","0.5",28
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",28
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",28
"20","K600_daily_sigma_sigma","0.24",28
"21","err_obs_iid_sigma_scale","0.03",28
"22","err_proc_iid_sigma_scale","5",28
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",28
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",28
"25","n_chains","4",28
"26","n_cores","12",28
"27","burnin_steps","354",28
"28","saved_steps","322",28
"29","thin_steps","1",28
"30","verbose","FALSE",28
"31","init.K600.daily","129.89",28
"32","Station 2 Time","6.3 mins",28
