"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",24
"2","engine","stan",24
"3","split_dates","FALSE",24
"4","keep_mcmcs","TRUE",24
"5","keep_mcmc_data","TRUE",24
"6","day_start","4",24
"7","day_end","28",24
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",24
"9","required_timestep","NA",24
"10","K600_lnQ_nodes_centers","-3:3",24
"11","GPP_daily_mu","3",24
"12","GPP_daily_lower","-Inf",24
"13","GPP_daily_sigma","2",24
"14","ER_daily_mu","-7.1",24
"15","ER_daily_upper","Inf",24
"16","ER_daily_sigma","7.1",24
"17","K600_lnQ_nodediffs_sdlog","0.5",24
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",24
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",24
"20","K600_daily_sigma_sigma","0.24",24
"21","err_obs_iid_sigma_scale","0.03",24
"22","err_proc_iid_sigma_scale","5",24
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",24
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",24
"25","n_chains","4",24
"26","n_cores","12",24
"27","burnin_steps","275",24
"28","saved_steps","397",24
"29","thin_steps","1",24
"30","verbose","FALSE",24
"31","init.K600.daily","62.53",24
"32","Station 2 Time","6.43 mins",24
