"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",38
"2","engine","stan",38
"3","split_dates","FALSE",38
"4","keep_mcmcs","TRUE",38
"5","keep_mcmc_data","TRUE",38
"6","day_start","4",38
"7","day_end","28",38
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",38
"9","required_timestep","NA",38
"10","K600_lnQ_nodes_centers","-3:3",38
"11","GPP_daily_mu","3",38
"12","GPP_daily_lower","-Inf",38
"13","GPP_daily_sigma","2",38
"14","ER_daily_mu","-7.1",38
"15","ER_daily_upper","Inf",38
"16","ER_daily_sigma","7.1",38
"17","K600_lnQ_nodediffs_sdlog","0.5",38
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",38
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",38
"20","K600_daily_sigma_sigma","0.24",38
"21","err_obs_iid_sigma_scale","0.03",38
"22","err_proc_iid_sigma_scale","5",38
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",38
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",38
"25","n_chains","4",38
"26","n_cores","12",38
"27","burnin_steps","164",38
"28","saved_steps","320",38
"29","thin_steps","1",38
"30","verbose","FALSE",38
"31","init.K600.daily","46.79",38
"32","Station 2 Time","6.4 mins",38
