"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",33
"2","engine","stan",33
"3","split_dates","FALSE",33
"4","keep_mcmcs","TRUE",33
"5","keep_mcmc_data","TRUE",33
"6","day_start","4",33
"7","day_end","28",33
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",33
"9","required_timestep","NA",33
"10","K600_lnQ_nodes_centers","-3:3",33
"11","GPP_daily_mu","3",33
"12","GPP_daily_lower","-Inf",33
"13","GPP_daily_sigma","2",33
"14","ER_daily_mu","-7.1",33
"15","ER_daily_upper","Inf",33
"16","ER_daily_sigma","7.1",33
"17","K600_lnQ_nodediffs_sdlog","0.5",33
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",33
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",33
"20","K600_daily_sigma_sigma","0.24",33
"21","err_obs_iid_sigma_scale","0.03",33
"22","err_proc_iid_sigma_scale","5",33
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",33
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",33
"25","n_chains","4",33
"26","n_cores","12",33
"27","burnin_steps","199",33
"28","saved_steps","558",33
"29","thin_steps","1",33
"30","verbose","FALSE",33
"31","init.K600.daily","48.99",33
"32","Station 2 Time","7.25 mins",33
