"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",37
"2","engine","stan",37
"3","split_dates","FALSE",37
"4","keep_mcmcs","TRUE",37
"5","keep_mcmc_data","TRUE",37
"6","day_start","4",37
"7","day_end","28",37
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",37
"9","required_timestep","NA",37
"10","K600_lnQ_nodes_centers","-3:3",37
"11","GPP_daily_mu","3",37
"12","GPP_daily_lower","-Inf",37
"13","GPP_daily_sigma","2",37
"14","ER_daily_mu","-7.1",37
"15","ER_daily_upper","Inf",37
"16","ER_daily_sigma","7.1",37
"17","K600_lnQ_nodediffs_sdlog","0.5",37
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",37
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",37
"20","K600_daily_sigma_sigma","0.24",37
"21","err_obs_iid_sigma_scale","0.03",37
"22","err_proc_iid_sigma_scale","5",37
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",37
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",37
"25","n_chains","4",37
"26","n_cores","12",37
"27","burnin_steps","361",37
"28","saved_steps","241",37
"29","thin_steps","1",37
"30","verbose","FALSE",37
"31","init.K600.daily","164.88",37
"32","Station 2 Time","9.33 mins",37
