"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",52
"2","engine","stan",52
"3","split_dates","FALSE",52
"4","keep_mcmcs","TRUE",52
"5","keep_mcmc_data","TRUE",52
"6","day_start","4",52
"7","day_end","28",52
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",52
"9","required_timestep","NA",52
"10","K600_lnQ_nodes_centers","-3:3",52
"11","GPP_daily_mu","3",52
"12","GPP_daily_lower","-Inf",52
"13","GPP_daily_sigma","2",52
"14","ER_daily_mu","-7.1",52
"15","ER_daily_upper","Inf",52
"16","ER_daily_sigma","7.1",52
"17","K600_lnQ_nodediffs_sdlog","0.5",52
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",52
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",52
"20","K600_daily_sigma_sigma","0.24",52
"21","err_obs_iid_sigma_scale","0.03",52
"22","err_proc_iid_sigma_scale","5",52
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",52
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",52
"25","n_chains","4",52
"26","n_cores","12",52
"27","burnin_steps","239",52
"28","saved_steps","293",52
"29","thin_steps","1",52
"30","verbose","FALSE",52
"31","init.K600.daily","55.42",52
"32","Station 2 Time","7.64 mins",52
