"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",29
"2","engine","stan",29
"3","split_dates","FALSE",29
"4","keep_mcmcs","TRUE",29
"5","keep_mcmc_data","TRUE",29
"6","day_start","4",29
"7","day_end","28",29
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",29
"9","required_timestep","NA",29
"10","K600_lnQ_nodes_centers","-3:3",29
"11","GPP_daily_mu","3",29
"12","GPP_daily_lower","-Inf",29
"13","GPP_daily_sigma","2",29
"14","ER_daily_mu","-7.1",29
"15","ER_daily_upper","Inf",29
"16","ER_daily_sigma","7.1",29
"17","K600_lnQ_nodediffs_sdlog","0.5",29
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",29
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",29
"20","K600_daily_sigma_sigma","0.24",29
"21","err_obs_iid_sigma_scale","0.03",29
"22","err_proc_iid_sigma_scale","5",29
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",29
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",29
"25","n_chains","4",29
"26","n_cores","12",29
"27","burnin_steps","175",29
"28","saved_steps","250",29
"29","thin_steps","1",29
"30","verbose","FALSE",29
"31","init.K600.daily","386.91",29
"32","Station 2 Time","3.46 mins",29
