"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",73
"2","engine","stan",73
"3","split_dates","FALSE",73
"4","keep_mcmcs","TRUE",73
"5","keep_mcmc_data","TRUE",73
"6","day_start","4",73
"7","day_end","28",73
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",73
"9","required_timestep","NA",73
"10","K600_lnQ_nodes_centers","-3:3",73
"11","GPP_daily_mu","3",73
"12","GPP_daily_lower","-Inf",73
"13","GPP_daily_sigma","2",73
"14","ER_daily_mu","-7.1",73
"15","ER_daily_upper","Inf",73
"16","ER_daily_sigma","7.1",73
"17","K600_lnQ_nodediffs_sdlog","0.5",73
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",73
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",73
"20","K600_daily_sigma_sigma","0.24",73
"21","err_obs_iid_sigma_scale","0.03",73
"22","err_proc_iid_sigma_scale","5",73
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",73
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",73
"25","n_chains","4",73
"26","n_cores","12",73
"27","burnin_steps","118",73
"28","saved_steps","442",73
"29","thin_steps","1",73
"30","verbose","FALSE",73
"31","init.K600.daily","355.52",73
"32","Station 2 Time","9.21 mins",73
