"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",43
"2","engine","stan",43
"3","split_dates","FALSE",43
"4","keep_mcmcs","TRUE",43
"5","keep_mcmc_data","TRUE",43
"6","day_start","4",43
"7","day_end","28",43
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",43
"9","required_timestep","NA",43
"10","K600_lnQ_nodes_centers","-3:3",43
"11","GPP_daily_mu","3",43
"12","GPP_daily_lower","-Inf",43
"13","GPP_daily_sigma","2",43
"14","ER_daily_mu","-7.1",43
"15","ER_daily_upper","Inf",43
"16","ER_daily_sigma","7.1",43
"17","K600_lnQ_nodediffs_sdlog","0.5",43
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",43
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",43
"20","K600_daily_sigma_sigma","0.24",43
"21","err_obs_iid_sigma_scale","0.03",43
"22","err_proc_iid_sigma_scale","5",43
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",43
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",43
"25","n_chains","4",43
"26","n_cores","24",43
"27","burnin_steps","134",43
"28","saved_steps","398",43
"29","thin_steps","1",43
"30","verbose","FALSE",43
"31","init.K600.daily","104.4",43
"32","Station 1 Time","5.21 mins",43
