"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",27
"2","engine","stan",27
"3","split_dates","FALSE",27
"4","keep_mcmcs","TRUE",27
"5","keep_mcmc_data","TRUE",27
"6","day_start","4",27
"7","day_end","28",27
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",27
"9","required_timestep","NA",27
"10","K600_lnQ_nodes_centers","-3:3",27
"11","GPP_daily_mu","3",27
"12","GPP_daily_lower","-Inf",27
"13","GPP_daily_sigma","2",27
"14","ER_daily_mu","-7.1",27
"15","ER_daily_upper","Inf",27
"16","ER_daily_sigma","7.1",27
"17","K600_lnQ_nodediffs_sdlog","0.5",27
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",27
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",27
"20","K600_daily_sigma_sigma","0.24",27
"21","err_obs_iid_sigma_scale","0.03",27
"22","err_proc_iid_sigma_scale","5",27
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",27
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",27
"25","n_chains","4",27
"26","n_cores","24",27
"27","burnin_steps","101",27
"28","saved_steps","300",27
"29","thin_steps","1",27
"30","verbose","FALSE",27
"31","init.K600.daily","192.03",27
"32","Station 1 Time","2.28 mins",27
