"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",1
"2","engine","stan",1
"3","split_dates","FALSE",1
"4","keep_mcmcs","TRUE",1
"5","keep_mcmc_data","TRUE",1
"6","day_start","4",1
"7","day_end","28",1
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",1
"9","required_timestep","NA",1
"10","K600_lnQ_nodes_centers","-3:3",1
"11","GPP_daily_mu","3",1
"12","GPP_daily_lower","-Inf",1
"13","GPP_daily_sigma","2",1
"14","ER_daily_mu","-7.1",1
"15","ER_daily_upper","Inf",1
"16","ER_daily_sigma","7.1",1
"17","K600_lnQ_nodediffs_sdlog","0.5",1
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",1
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",1
"20","K600_daily_sigma_sigma","0.24",1
"21","err_obs_iid_sigma_scale","0.03",1
"22","err_proc_iid_sigma_scale","5",1
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",1
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",1
"25","n_chains","4",1
"26","n_cores","24",1
"27","burnin_steps","375",1
"28","saved_steps","318",1
"29","thin_steps","1",1
"30","verbose","FALSE",1
"31","init.K600.daily","39.16",1
"32","Station 1 Time","6.24 mins",1
