"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",41
"2","engine","stan",41
"3","split_dates","FALSE",41
"4","keep_mcmcs","TRUE",41
"5","keep_mcmc_data","TRUE",41
"6","day_start","4",41
"7","day_end","28",41
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",41
"9","required_timestep","NA",41
"10","K600_lnQ_nodes_centers","-3:3",41
"11","GPP_daily_mu","3",41
"12","GPP_daily_lower","-Inf",41
"13","GPP_daily_sigma","2",41
"14","ER_daily_mu","-7.1",41
"15","ER_daily_upper","Inf",41
"16","ER_daily_sigma","7.1",41
"17","K600_lnQ_nodediffs_sdlog","0.5",41
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",41
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",41
"20","K600_daily_sigma_sigma","0.24",41
"21","err_obs_iid_sigma_scale","0.03",41
"22","err_proc_iid_sigma_scale","5",41
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",41
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",41
"25","n_chains","4",41
"26","n_cores","12",41
"27","burnin_steps","206",41
"28","saved_steps","592",41
"29","thin_steps","1",41
"30","verbose","FALSE",41
"31","init.K600.daily","232.87",41
"32","Station 1 Time","13.46 mins",41
