"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",62
"2","engine","stan",62
"3","split_dates","FALSE",62
"4","keep_mcmcs","TRUE",62
"5","keep_mcmc_data","TRUE",62
"6","day_start","4",62
"7","day_end","28",62
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",62
"9","required_timestep","NA",62
"10","K600_lnQ_nodes_centers","-3:3",62
"11","GPP_daily_mu","3",62
"12","GPP_daily_lower","-Inf",62
"13","GPP_daily_sigma","2",62
"14","ER_daily_mu","-7.1",62
"15","ER_daily_upper","Inf",62
"16","ER_daily_sigma","7.1",62
"17","K600_lnQ_nodediffs_sdlog","0.5",62
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",62
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",62
"20","K600_daily_sigma_sigma","0.24",62
"21","err_obs_iid_sigma_scale","0.03",62
"22","err_proc_iid_sigma_scale","5",62
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",62
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",62
"25","n_chains","4",62
"26","n_cores","12",62
"27","burnin_steps","357",62
"28","saved_steps","459",62
"29","thin_steps","1",62
"30","verbose","FALSE",62
"31","init.K600.daily","320.33",62
"32","Station 1 Time","3.82 mins",62
