"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",48
"2","engine","stan",48
"3","split_dates","FALSE",48
"4","keep_mcmcs","TRUE",48
"5","keep_mcmc_data","TRUE",48
"6","day_start","4",48
"7","day_end","28",48
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",48
"9","required_timestep","NA",48
"10","K600_lnQ_nodes_centers","-3:3",48
"11","GPP_daily_mu","3",48
"12","GPP_daily_lower","-Inf",48
"13","GPP_daily_sigma","2",48
"14","ER_daily_mu","-7.1",48
"15","ER_daily_upper","Inf",48
"16","ER_daily_sigma","7.1",48
"17","K600_lnQ_nodediffs_sdlog","0.5",48
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",48
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",48
"20","K600_daily_sigma_sigma","0.24",48
"21","err_obs_iid_sigma_scale","0.03",48
"22","err_proc_iid_sigma_scale","5",48
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",48
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",48
"25","n_chains","4",48
"26","n_cores","12",48
"27","burnin_steps","285",48
"28","saved_steps","339",48
"29","thin_steps","1",48
"30","verbose","FALSE",48
"31","init.K600.daily","15.32",48
"32","Station 1 Time","18.51 mins",48
