"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",11
"2","engine","stan",11
"3","split_dates","FALSE",11
"4","keep_mcmcs","TRUE",11
"5","keep_mcmc_data","TRUE",11
"6","day_start","4",11
"7","day_end","28",11
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",11
"9","required_timestep","NA",11
"10","K600_lnQ_nodes_centers","-3:3",11
"11","GPP_daily_mu","3",11
"12","GPP_daily_lower","-Inf",11
"13","GPP_daily_sigma","2",11
"14","ER_daily_mu","-7.1",11
"15","ER_daily_upper","Inf",11
"16","ER_daily_sigma","7.1",11
"17","K600_lnQ_nodediffs_sdlog","0.5",11
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",11
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",11
"20","K600_daily_sigma_sigma","0.24",11
"21","err_obs_iid_sigma_scale","0.03",11
"22","err_proc_iid_sigma_scale","5",11
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",11
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",11
"25","n_chains","4",11
"26","n_cores","12",11
"27","burnin_steps","226",11
"28","saved_steps","471",11
"29","thin_steps","1",11
"30","verbose","FALSE",11
"31","init.K600.daily","221.87",11
"32","Station 1 Time","5.45 mins",11
