"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",44
"2","engine","stan",44
"3","split_dates","FALSE",44
"4","keep_mcmcs","TRUE",44
"5","keep_mcmc_data","TRUE",44
"6","day_start","4",44
"7","day_end","28",44
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",44
"9","required_timestep","NA",44
"10","K600_lnQ_nodes_centers","-3:3",44
"11","GPP_daily_mu","3",44
"12","GPP_daily_lower","-Inf",44
"13","GPP_daily_sigma","2",44
"14","ER_daily_mu","-7.1",44
"15","ER_daily_upper","Inf",44
"16","ER_daily_sigma","7.1",44
"17","K600_lnQ_nodediffs_sdlog","0.5",44
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",44
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",44
"20","K600_daily_sigma_sigma","0.24",44
"21","err_obs_iid_sigma_scale","0.03",44
"22","err_proc_iid_sigma_scale","5",44
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",44
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",44
"25","n_chains","4",44
"26","n_cores","12",44
"27","burnin_steps","189",44
"28","saved_steps","437",44
"29","thin_steps","1",44
"30","verbose","FALSE",44
"31","init.K600.daily","148.15",44
"32","Station 1 Time","17.2 mins",44
