"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",60
"2","engine","stan",60
"3","split_dates","FALSE",60
"4","keep_mcmcs","TRUE",60
"5","keep_mcmc_data","TRUE",60
"6","day_start","4",60
"7","day_end","28",60
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",60
"9","required_timestep","NA",60
"10","K600_lnQ_nodes_centers","-3:3",60
"11","GPP_daily_mu","3",60
"12","GPP_daily_lower","-Inf",60
"13","GPP_daily_sigma","2",60
"14","ER_daily_mu","-7.1",60
"15","ER_daily_upper","Inf",60
"16","ER_daily_sigma","7.1",60
"17","K600_lnQ_nodediffs_sdlog","0.5",60
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",60
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",60
"20","K600_daily_sigma_sigma","0.24",60
"21","err_obs_iid_sigma_scale","0.03",60
"22","err_proc_iid_sigma_scale","5",60
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",60
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",60
"25","n_chains","4",60
"26","n_cores","24",60
"27","burnin_steps","299",60
"28","saved_steps","511",60
"29","thin_steps","1",60
"30","verbose","FALSE",60
"31","init.K600.daily","239.45",60
"32","Station 1 Time","13.45 mins",60
