"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",57
"2","engine","stan",57
"3","split_dates","FALSE",57
"4","keep_mcmcs","TRUE",57
"5","keep_mcmc_data","TRUE",57
"6","day_start","4",57
"7","day_end","28",57
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",57
"9","required_timestep","NA",57
"10","K600_lnQ_nodes_centers","-3:3",57
"11","GPP_daily_mu","3",57
"12","GPP_daily_lower","-Inf",57
"13","GPP_daily_sigma","2",57
"14","ER_daily_mu","-7.1",57
"15","ER_daily_upper","Inf",57
"16","ER_daily_sigma","7.1",57
"17","K600_lnQ_nodediffs_sdlog","0.5",57
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",57
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",57
"20","K600_daily_sigma_sigma","0.24",57
"21","err_obs_iid_sigma_scale","0.03",57
"22","err_proc_iid_sigma_scale","5",57
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",57
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",57
"25","n_chains","4",57
"26","n_cores","12",57
"27","burnin_steps","347",57
"28","saved_steps","310",57
"29","thin_steps","1",57
"30","verbose","FALSE",57
"31","init.K600.daily","290.42",57
"32","Station 1 Time","7.9 mins",57
