"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",46
"2","engine","stan",46
"3","split_dates","FALSE",46
"4","keep_mcmcs","TRUE",46
"5","keep_mcmc_data","TRUE",46
"6","day_start","4",46
"7","day_end","28",46
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",46
"9","required_timestep","NA",46
"10","K600_lnQ_nodes_centers","-3:3",46
"11","GPP_daily_mu","3",46
"12","GPP_daily_lower","-Inf",46
"13","GPP_daily_sigma","2",46
"14","ER_daily_mu","-7.1",46
"15","ER_daily_upper","Inf",46
"16","ER_daily_sigma","7.1",46
"17","K600_lnQ_nodediffs_sdlog","0.5",46
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",46
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",46
"20","K600_daily_sigma_sigma","0.24",46
"21","err_obs_iid_sigma_scale","0.03",46
"22","err_proc_iid_sigma_scale","5",46
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",46
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",46
"25","n_chains","4",46
"26","n_cores","12",46
"27","burnin_steps","114",46
"28","saved_steps","219",46
"29","thin_steps","1",46
"30","verbose","FALSE",46
"31","init.K600.daily","344.6",46
"32","Station 1 Time","1.73 mins",46
