"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",10
"2","engine","stan",10
"3","split_dates","FALSE",10
"4","keep_mcmcs","TRUE",10
"5","keep_mcmc_data","TRUE",10
"6","day_start","4",10
"7","day_end","28",10
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",10
"9","required_timestep","NA",10
"10","K600_lnQ_nodes_centers","-3:3",10
"11","GPP_daily_mu","3",10
"12","GPP_daily_lower","-Inf",10
"13","GPP_daily_sigma","2",10
"14","ER_daily_mu","-7.1",10
"15","ER_daily_upper","Inf",10
"16","ER_daily_sigma","7.1",10
"17","K600_lnQ_nodediffs_sdlog","0.5",10
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",10
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",10
"20","K600_daily_sigma_sigma","0.24",10
"21","err_obs_iid_sigma_scale","0.03",10
"22","err_proc_iid_sigma_scale","5",10
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",10
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",10
"25","n_chains","4",10
"26","n_cores","12",10
"27","burnin_steps","254",10
"28","saved_steps","461",10
"29","thin_steps","1",10
"30","verbose","FALSE",10
"31","init.K600.daily","364.68",10
"32","Station 4 Time","13.2 mins",10
