"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",82
"2","engine","stan",82
"3","split_dates","FALSE",82
"4","keep_mcmcs","TRUE",82
"5","keep_mcmc_data","TRUE",82
"6","day_start","4",82
"7","day_end","28",82
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",82
"9","required_timestep","NA",82
"10","K600_lnQ_nodes_centers","-3:3",82
"11","GPP_daily_mu","3",82
"12","GPP_daily_lower","-Inf",82
"13","GPP_daily_sigma","2",82
"14","ER_daily_mu","-7.1",82
"15","ER_daily_upper","Inf",82
"16","ER_daily_sigma","7.1",82
"17","K600_lnQ_nodediffs_sdlog","0.5",82
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",82
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",82
"20","K600_daily_sigma_sigma","0.24",82
"21","err_obs_iid_sigma_scale","0.03",82
"22","err_proc_iid_sigma_scale","5",82
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",82
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",82
"25","n_chains","4",82
"26","n_cores","12",82
"27","burnin_steps","229",82
"28","saved_steps","513",82
"29","thin_steps","1",82
"30","verbose","FALSE",82
"31","init.K600.daily","351.91",82
"32","Station 4 Time","13 mins",82
