"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",95
"2","engine","stan",95
"3","split_dates","FALSE",95
"4","keep_mcmcs","TRUE",95
"5","keep_mcmc_data","TRUE",95
"6","day_start","4",95
"7","day_end","28",95
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",95
"9","required_timestep","NA",95
"10","K600_lnQ_nodes_centers","-3:3",95
"11","GPP_daily_mu","3",95
"12","GPP_daily_lower","-Inf",95
"13","GPP_daily_sigma","2",95
"14","ER_daily_mu","-7.1",95
"15","ER_daily_upper","Inf",95
"16","ER_daily_sigma","7.1",95
"17","K600_lnQ_nodediffs_sdlog","0.5",95
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",95
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",95
"20","K600_daily_sigma_sigma","0.24",95
"21","err_obs_iid_sigma_scale","0.03",95
"22","err_proc_iid_sigma_scale","5",95
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",95
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",95
"25","n_chains","4",95
"26","n_cores","12",95
"27","burnin_steps","196",95
"28","saved_steps","208",95
"29","thin_steps","1",95
"30","verbose","FALSE",95
"31","init.K600.daily","263.03",95
"32","Station 4 Time","4.74 mins",95
