"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",80
"2","engine","stan",80
"3","split_dates","FALSE",80
"4","keep_mcmcs","TRUE",80
"5","keep_mcmc_data","TRUE",80
"6","day_start","4",80
"7","day_end","28",80
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",80
"9","required_timestep","NA",80
"10","K600_lnQ_nodes_centers","-3:3",80
"11","GPP_daily_mu","3",80
"12","GPP_daily_lower","-Inf",80
"13","GPP_daily_sigma","2",80
"14","ER_daily_mu","-7.1",80
"15","ER_daily_upper","Inf",80
"16","ER_daily_sigma","7.1",80
"17","K600_lnQ_nodediffs_sdlog","0.5",80
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",80
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",80
"20","K600_daily_sigma_sigma","0.24",80
"21","err_obs_iid_sigma_scale","0.03",80
"22","err_proc_iid_sigma_scale","5",80
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",80
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",80
"25","n_chains","4",80
"26","n_cores","12",80
"27","burnin_steps","313",80
"28","saved_steps","399",80
"29","thin_steps","1",80
"30","verbose","FALSE",80
"31","init.K600.daily","76.62",80
"32","Station 4 Time","6.18 mins",80
