"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",58
"2","engine","stan",58
"3","split_dates","FALSE",58
"4","keep_mcmcs","TRUE",58
"5","keep_mcmc_data","TRUE",58
"6","day_start","4",58
"7","day_end","28",58
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",58
"9","required_timestep","NA",58
"10","K600_lnQ_nodes_centers","-3:3",58
"11","GPP_daily_mu","3",58
"12","GPP_daily_lower","-Inf",58
"13","GPP_daily_sigma","2",58
"14","ER_daily_mu","-7.1",58
"15","ER_daily_upper","Inf",58
"16","ER_daily_sigma","7.1",58
"17","K600_lnQ_nodediffs_sdlog","0.5",58
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",58
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",58
"20","K600_daily_sigma_sigma","0.24",58
"21","err_obs_iid_sigma_scale","0.03",58
"22","err_proc_iid_sigma_scale","5",58
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",58
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",58
"25","n_chains","4",58
"26","n_cores","12",58
"27","burnin_steps","299",58
"28","saved_steps","359",58
"29","thin_steps","1",58
"30","verbose","FALSE",58
"31","init.K600.daily","62.59",58
"32","Station 4 Time","8.23 mins",58
