"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",8
"2","engine","stan",8
"3","split_dates","FALSE",8
"4","keep_mcmcs","TRUE",8
"5","keep_mcmc_data","TRUE",8
"6","day_start","4",8
"7","day_end","28",8
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",8
"9","required_timestep","NA",8
"10","K600_lnQ_nodes_centers","-3:3",8
"11","GPP_daily_mu","3",8
"12","GPP_daily_lower","-Inf",8
"13","GPP_daily_sigma","2",8
"14","ER_daily_mu","-7.1",8
"15","ER_daily_upper","Inf",8
"16","ER_daily_sigma","7.1",8
"17","K600_lnQ_nodediffs_sdlog","0.5",8
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",8
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",8
"20","K600_daily_sigma_sigma","0.24",8
"21","err_obs_iid_sigma_scale","0.03",8
"22","err_proc_iid_sigma_scale","5",8
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",8
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",8
"25","n_chains","4",8
"26","n_cores","12",8
"27","burnin_steps","382",8
"28","saved_steps","231",8
"29","thin_steps","1",8
"30","verbose","FALSE",8
"31","init.K600.daily","195.32",8
"32","Station 4 Time","5.16 mins",8
