"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",81
"2","engine","stan",81
"3","split_dates","FALSE",81
"4","keep_mcmcs","TRUE",81
"5","keep_mcmc_data","TRUE",81
"6","day_start","4",81
"7","day_end","28",81
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",81
"9","required_timestep","NA",81
"10","K600_lnQ_nodes_centers","-3:3",81
"11","GPP_daily_mu","3",81
"12","GPP_daily_lower","-Inf",81
"13","GPP_daily_sigma","2",81
"14","ER_daily_mu","-7.1",81
"15","ER_daily_upper","Inf",81
"16","ER_daily_sigma","7.1",81
"17","K600_lnQ_nodediffs_sdlog","0.5",81
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",81
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",81
"20","K600_daily_sigma_sigma","0.24",81
"21","err_obs_iid_sigma_scale","0.03",81
"22","err_proc_iid_sigma_scale","5",81
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",81
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",81
"25","n_chains","4",81
"26","n_cores","12",81
"27","burnin_steps","104",81
"28","saved_steps","415",81
"29","thin_steps","1",81
"30","verbose","FALSE",81
"31","init.K600.daily","34.81",81
"32","Station 4 Time","2.86 mins",81
