"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",65
"2","engine","stan",65
"3","split_dates","FALSE",65
"4","keep_mcmcs","TRUE",65
"5","keep_mcmc_data","TRUE",65
"6","day_start","4",65
"7","day_end","28",65
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",65
"9","required_timestep","NA",65
"10","K600_lnQ_nodes_centers","-3:3",65
"11","GPP_daily_mu","3",65
"12","GPP_daily_lower","-Inf",65
"13","GPP_daily_sigma","2",65
"14","ER_daily_mu","-7.1",65
"15","ER_daily_upper","Inf",65
"16","ER_daily_sigma","7.1",65
"17","K600_lnQ_nodediffs_sdlog","0.5",65
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",65
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",65
"20","K600_daily_sigma_sigma","0.24",65
"21","err_obs_iid_sigma_scale","0.03",65
"22","err_proc_iid_sigma_scale","5",65
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",65
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",65
"25","n_chains","4",65
"26","n_cores","12",65
"27","burnin_steps","377",65
"28","saved_steps","434",65
"29","thin_steps","1",65
"30","verbose","FALSE",65
"31","init.K600.daily","257.08",65
"32","Station 4 Time","5.68 mins",65
