"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",91
"2","engine","stan",91
"3","split_dates","FALSE",91
"4","keep_mcmcs","TRUE",91
"5","keep_mcmc_data","TRUE",91
"6","day_start","4",91
"7","day_end","28",91
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",91
"9","required_timestep","NA",91
"10","K600_lnQ_nodes_centers","-3:3",91
"11","GPP_daily_mu","3",91
"12","GPP_daily_lower","-Inf",91
"13","GPP_daily_sigma","2",91
"14","ER_daily_mu","-7.1",91
"15","ER_daily_upper","Inf",91
"16","ER_daily_sigma","7.1",91
"17","K600_lnQ_nodediffs_sdlog","0.5",91
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",91
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",91
"20","K600_daily_sigma_sigma","0.24",91
"21","err_obs_iid_sigma_scale","0.03",91
"22","err_proc_iid_sigma_scale","5",91
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",91
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",91
"25","n_chains","4",91
"26","n_cores","12",91
"27","burnin_steps","129",91
"28","saved_steps","440",91
"29","thin_steps","1",91
"30","verbose","FALSE",91
"31","init.K600.daily","91.63",91
"32","Station 4 Time","2.86 mins",91
