"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",67
"2","engine","stan",67
"3","split_dates","FALSE",67
"4","keep_mcmcs","TRUE",67
"5","keep_mcmc_data","TRUE",67
"6","day_start","4",67
"7","day_end","28",67
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",67
"9","required_timestep","NA",67
"10","K600_lnQ_nodes_centers","-3:3",67
"11","GPP_daily_mu","3",67
"12","GPP_daily_lower","-Inf",67
"13","GPP_daily_sigma","2",67
"14","ER_daily_mu","-7.1",67
"15","ER_daily_upper","Inf",67
"16","ER_daily_sigma","7.1",67
"17","K600_lnQ_nodediffs_sdlog","0.5",67
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",67
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",67
"20","K600_daily_sigma_sigma","0.24",67
"21","err_obs_iid_sigma_scale","0.03",67
"22","err_proc_iid_sigma_scale","5",67
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",67
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",67
"25","n_chains","4",67
"26","n_cores","12",67
"27","burnin_steps","228",67
"28","saved_steps","281",67
"29","thin_steps","1",67
"30","verbose","FALSE",67
"31","init.K600.daily","277.02",67
"32","Station 4 Time","5.46 mins",67
