"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",79
"2","engine","stan",79
"3","split_dates","FALSE",79
"4","keep_mcmcs","TRUE",79
"5","keep_mcmc_data","TRUE",79
"6","day_start","4",79
"7","day_end","28",79
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",79
"9","required_timestep","NA",79
"10","K600_lnQ_nodes_centers","-3:3",79
"11","GPP_daily_mu","3",79
"12","GPP_daily_lower","-Inf",79
"13","GPP_daily_sigma","2",79
"14","ER_daily_mu","-7.1",79
"15","ER_daily_upper","Inf",79
"16","ER_daily_sigma","7.1",79
"17","K600_lnQ_nodediffs_sdlog","0.5",79
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",79
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",79
"20","K600_daily_sigma_sigma","0.24",79
"21","err_obs_iid_sigma_scale","0.03",79
"22","err_proc_iid_sigma_scale","5",79
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",79
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",79
"25","n_chains","4",79
"26","n_cores","12",79
"27","burnin_steps","366",79
"28","saved_steps","214",79
"29","thin_steps","1",79
"30","verbose","FALSE",79
"31","init.K600.daily","334.93",79
"32","Station 4 Time","4.83 mins",79
