"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",90
"2","engine","stan",90
"3","split_dates","FALSE",90
"4","keep_mcmcs","TRUE",90
"5","keep_mcmc_data","TRUE",90
"6","day_start","4",90
"7","day_end","28",90
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",90
"9","required_timestep","NA",90
"10","K600_lnQ_nodes_centers","-3:3",90
"11","GPP_daily_mu","3",90
"12","GPP_daily_lower","-Inf",90
"13","GPP_daily_sigma","2",90
"14","ER_daily_mu","-7.1",90
"15","ER_daily_upper","Inf",90
"16","ER_daily_sigma","7.1",90
"17","K600_lnQ_nodediffs_sdlog","0.5",90
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",90
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",90
"20","K600_daily_sigma_sigma","0.24",90
"21","err_obs_iid_sigma_scale","0.03",90
"22","err_proc_iid_sigma_scale","5",90
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",90
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",90
"25","n_chains","4",90
"26","n_cores","12",90
"27","burnin_steps","177",90
"28","saved_steps","260",90
"29","thin_steps","1",90
"30","verbose","FALSE",90
"31","init.K600.daily","214.91",90
"32","Station 4 Time","3.79 mins",90
