"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",76
"2","engine","stan",76
"3","split_dates","FALSE",76
"4","keep_mcmcs","TRUE",76
"5","keep_mcmc_data","TRUE",76
"6","day_start","4",76
"7","day_end","28",76
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",76
"9","required_timestep","NA",76
"10","K600_lnQ_nodes_centers","-3:3",76
"11","GPP_daily_mu","3",76
"12","GPP_daily_lower","-Inf",76
"13","GPP_daily_sigma","2",76
"14","ER_daily_mu","-7.1",76
"15","ER_daily_upper","Inf",76
"16","ER_daily_sigma","7.1",76
"17","K600_lnQ_nodediffs_sdlog","0.5",76
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",76
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",76
"20","K600_daily_sigma_sigma","0.24",76
"21","err_obs_iid_sigma_scale","0.03",76
"22","err_proc_iid_sigma_scale","5",76
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",76
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",76
"25","n_chains","4",76
"26","n_cores","12",76
"27","burnin_steps","396",76
"28","saved_steps","571",76
"29","thin_steps","1",76
"30","verbose","FALSE",76
"31","init.K600.daily","102.5",76
"32","Station 4 Time","7.19 mins",76
