"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",98
"2","engine","stan",98
"3","split_dates","FALSE",98
"4","keep_mcmcs","TRUE",98
"5","keep_mcmc_data","TRUE",98
"6","day_start","4",98
"7","day_end","28",98
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",98
"9","required_timestep","NA",98
"10","K600_lnQ_nodes_centers","-3:3",98
"11","GPP_daily_mu","3",98
"12","GPP_daily_lower","-Inf",98
"13","GPP_daily_sigma","2",98
"14","ER_daily_mu","-7.1",98
"15","ER_daily_upper","Inf",98
"16","ER_daily_sigma","7.1",98
"17","K600_lnQ_nodediffs_sdlog","0.5",98
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",98
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",98
"20","K600_daily_sigma_sigma","0.24",98
"21","err_obs_iid_sigma_scale","0.03",98
"22","err_proc_iid_sigma_scale","5",98
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",98
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",98
"25","n_chains","4",98
"26","n_cores","12",98
"27","burnin_steps","157",98
"28","saved_steps","461",98
"29","thin_steps","1",98
"30","verbose","FALSE",98
"31","init.K600.daily","183.51",98
"32","Station 4 Time","3.64 mins",98
