"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",66
"2","engine","stan",66
"3","split_dates","FALSE",66
"4","keep_mcmcs","TRUE",66
"5","keep_mcmc_data","TRUE",66
"6","day_start","4",66
"7","day_end","28",66
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",66
"9","required_timestep","NA",66
"10","K600_lnQ_nodes_centers","-3:3",66
"11","GPP_daily_mu","3",66
"12","GPP_daily_lower","-Inf",66
"13","GPP_daily_sigma","2",66
"14","ER_daily_mu","-7.1",66
"15","ER_daily_upper","Inf",66
"16","ER_daily_sigma","7.1",66
"17","K600_lnQ_nodediffs_sdlog","0.5",66
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",66
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",66
"20","K600_daily_sigma_sigma","0.24",66
"21","err_obs_iid_sigma_scale","0.03",66
"22","err_proc_iid_sigma_scale","5",66
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",66
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",66
"25","n_chains","4",66
"26","n_cores","12",66
"27","burnin_steps","208",66
"28","saved_steps","248",66
"29","thin_steps","1",66
"30","verbose","FALSE",66
"31","init.K600.daily","20.85",66
"32","Station 4 Time","5.93 mins",66
