"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",70
"2","engine","stan",70
"3","split_dates","FALSE",70
"4","keep_mcmcs","TRUE",70
"5","keep_mcmc_data","TRUE",70
"6","day_start","4",70
"7","day_end","28",70
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",70
"9","required_timestep","NA",70
"10","K600_lnQ_nodes_centers","-3:3",70
"11","GPP_daily_mu","3",70
"12","GPP_daily_lower","-Inf",70
"13","GPP_daily_sigma","2",70
"14","ER_daily_mu","-7.1",70
"15","ER_daily_upper","Inf",70
"16","ER_daily_sigma","7.1",70
"17","K600_lnQ_nodediffs_sdlog","0.5",70
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",70
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",70
"20","K600_daily_sigma_sigma","0.24",70
"21","err_obs_iid_sigma_scale","0.03",70
"22","err_proc_iid_sigma_scale","5",70
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",70
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",70
"25","n_chains","4",70
"26","n_cores","12",70
"27","burnin_steps","201",70
"28","saved_steps","463",70
"29","thin_steps","1",70
"30","verbose","FALSE",70
"31","init.K600.daily","263.15",70
"32","Station 4 Time","8.76 mins",70
