"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",34
"2","engine","stan",34
"3","split_dates","FALSE",34
"4","keep_mcmcs","TRUE",34
"5","keep_mcmc_data","TRUE",34
"6","day_start","4",34
"7","day_end","28",34
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",34
"9","required_timestep","NA",34
"10","K600_lnQ_nodes_centers","-3:3",34
"11","GPP_daily_mu","3",34
"12","GPP_daily_lower","-Inf",34
"13","GPP_daily_sigma","2",34
"14","ER_daily_mu","-7.1",34
"15","ER_daily_upper","Inf",34
"16","ER_daily_sigma","7.1",34
"17","K600_lnQ_nodediffs_sdlog","0.5",34
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",34
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",34
"20","K600_daily_sigma_sigma","0.24",34
"21","err_obs_iid_sigma_scale","0.03",34
"22","err_proc_iid_sigma_scale","5",34
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",34
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",34
"25","n_chains","4",34
"26","n_cores","12",34
"27","burnin_steps","115",34
"28","saved_steps","457",34
"29","thin_steps","1",34
"30","verbose","FALSE",34
"31","init.K600.daily","28.47",34
"32","Station 4 Time","3.47 mins",34
