"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",100
"2","engine","stan",100
"3","split_dates","FALSE",100
"4","keep_mcmcs","TRUE",100
"5","keep_mcmc_data","TRUE",100
"6","day_start","4",100
"7","day_end","28",100
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",100
"9","required_timestep","NA",100
"10","K600_lnQ_nodes_centers","-3:3",100
"11","GPP_daily_mu","3",100
"12","GPP_daily_lower","-Inf",100
"13","GPP_daily_sigma","2",100
"14","ER_daily_mu","-7.1",100
"15","ER_daily_upper","Inf",100
"16","ER_daily_sigma","7.1",100
"17","K600_lnQ_nodediffs_sdlog","0.5",100
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",100
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",100
"20","K600_daily_sigma_sigma","0.24",100
"21","err_obs_iid_sigma_scale","0.03",100
"22","err_proc_iid_sigma_scale","5",100
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",100
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",100
"25","n_chains","4",100
"26","n_cores","12",100
"27","burnin_steps","205",100
"28","saved_steps","327",100
"29","thin_steps","1",100
"30","verbose","FALSE",100
"31","init.K600.daily","349.33",100
"32","Station 4 Time","5.28 mins",100
