"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",30
"2","engine","stan",30
"3","split_dates","FALSE",30
"4","keep_mcmcs","TRUE",30
"5","keep_mcmc_data","TRUE",30
"6","day_start","4",30
"7","day_end","28",30
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",30
"9","required_timestep","NA",30
"10","K600_lnQ_nodes_centers","-3:3",30
"11","GPP_daily_mu","3",30
"12","GPP_daily_lower","-Inf",30
"13","GPP_daily_sigma","2",30
"14","ER_daily_mu","-7.1",30
"15","ER_daily_upper","Inf",30
"16","ER_daily_sigma","7.1",30
"17","K600_lnQ_nodediffs_sdlog","0.5",30
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",30
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",30
"20","K600_daily_sigma_sigma","0.24",30
"21","err_obs_iid_sigma_scale","0.03",30
"22","err_proc_iid_sigma_scale","5",30
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",30
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",30
"25","n_chains","4",30
"26","n_cores","12",30
"27","burnin_steps","339",30
"28","saved_steps","590",30
"29","thin_steps","1",30
"30","verbose","FALSE",30
"31","init.K600.daily","273.16",30
"32","Station 4 Time","11.06 mins",30
