"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",77
"2","engine","stan",77
"3","split_dates","FALSE",77
"4","keep_mcmcs","TRUE",77
"5","keep_mcmc_data","TRUE",77
"6","day_start","4",77
"7","day_end","28",77
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",77
"9","required_timestep","NA",77
"10","K600_lnQ_nodes_centers","-3:3",77
"11","GPP_daily_mu","3",77
"12","GPP_daily_lower","-Inf",77
"13","GPP_daily_sigma","2",77
"14","ER_daily_mu","-7.1",77
"15","ER_daily_upper","Inf",77
"16","ER_daily_sigma","7.1",77
"17","K600_lnQ_nodediffs_sdlog","0.5",77
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",77
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",77
"20","K600_daily_sigma_sigma","0.24",77
"21","err_obs_iid_sigma_scale","0.03",77
"22","err_proc_iid_sigma_scale","5",77
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",77
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",77
"25","n_chains","4",77
"26","n_cores","12",77
"27","burnin_steps","266",77
"28","saved_steps","577",77
"29","thin_steps","1",77
"30","verbose","FALSE",77
"31","init.K600.daily","33.09",77
"32","Station 4 Time","7.71 mins",77
