"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",1
"2","engine","stan",1
"3","split_dates","FALSE",1
"4","keep_mcmcs","TRUE",1
"5","keep_mcmc_data","TRUE",1
"6","day_start","4",1
"7","day_end","28",1
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",1
"9","required_timestep","NA",1
"10","K600_lnQ_nodes_centers","-3:3",1
"11","GPP_daily_mu","3",1
"12","GPP_daily_lower","-Inf",1
"13","GPP_daily_sigma","2",1
"14","ER_daily_mu","-7.1",1
"15","ER_daily_upper","Inf",1
"16","ER_daily_sigma","7.1",1
"17","K600_lnQ_nodediffs_sdlog","0.5",1
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",1
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",1
"20","K600_daily_sigma_sigma","0.24",1
"21","err_obs_iid_sigma_scale","0.03",1
"22","err_proc_iid_sigma_scale","5",1
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",1
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",1
"25","n_chains","4",1
"26","n_cores","12",1
"27","burnin_steps","216",1
"28","saved_steps","309",1
"29","thin_steps","1",1
"30","verbose","FALSE",1
"31","init.K600.daily","3.61",1
"32","Station 1 Time","7.44 mins",1
"33","model_name","b_Kb_oipi_tr_plrckm.stan",2
"34","engine","stan",2
"35","split_dates","FALSE",2
"36","keep_mcmcs","TRUE",2
"37","keep_mcmc_data","TRUE",2
"38","day_start","4",2
"39","day_end","28",2
"40","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",2
"41","required_timestep","NA",2
"42","K600_lnQ_nodes_centers","-3:3",2
"43","GPP_daily_mu","3",2
"44","GPP_daily_lower","-Inf",2
"45","GPP_daily_sigma","2",2
"46","ER_daily_mu","-7.1",2
"47","ER_daily_upper","Inf",2
"48","ER_daily_sigma","7.1",2
"49","K600_lnQ_nodediffs_sdlog","0.5",2
"50","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",2
"51","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",2
"52","K600_daily_sigma_sigma","0.24",2
"53","err_obs_iid_sigma_scale","0.03",2
"54","err_proc_iid_sigma_scale","5",2
"55","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",2
"56","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",2
"57","n_chains","4",2
"58","n_cores","12",2
"59","burnin_steps","294",2
"60","saved_steps","403",2
"61","thin_steps","1",2
"62","verbose","FALSE",2
"63","init.K600.daily","20.68",2
"64","Station 1 Time","20.56 mins",2
"65","model_name","b_Kb_oipi_tr_plrckm.stan",3
"66","engine","stan",3
"67","split_dates","FALSE",3
"68","keep_mcmcs","TRUE",3
"69","keep_mcmc_data","TRUE",3
"70","day_start","4",3
"71","day_end","28",3
"72","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",3
"73","required_timestep","NA",3
"74","K600_lnQ_nodes_centers","-3:3",3
"75","GPP_daily_mu","3",3
"76","GPP_daily_lower","-Inf",3
"77","GPP_daily_sigma","2",3
"78","ER_daily_mu","-7.1",3
"79","ER_daily_upper","Inf",3
"80","ER_daily_sigma","7.1",3
"81","K600_lnQ_nodediffs_sdlog","0.5",3
"82","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",3
"83","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",3
"84","K600_daily_sigma_sigma","0.24",3
"85","err_obs_iid_sigma_scale","0.03",3
"86","err_proc_iid_sigma_scale","5",3
"87","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",3
"88","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",3
"89","n_chains","4",3
"90","n_cores","12",3
"91","burnin_steps","142",3
"92","saved_steps","372",3
"93","thin_steps","1",3
"94","verbose","FALSE",3
"95","init.K600.daily","2.58",3
"96","Station 1 Time","4.1 mins",3
"97","model_name","b_Kb_oipi_tr_plrckm.stan",4
"98","engine","stan",4
"99","split_dates","FALSE",4
"100","keep_mcmcs","TRUE",4
"101","keep_mcmc_data","TRUE",4
"102","day_start","4",4
"103","day_end","28",4
"104","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",4
"105","required_timestep","NA",4
"106","K600_lnQ_nodes_centers","-3:3",4
"107","GPP_daily_mu","3",4
"108","GPP_daily_lower","-Inf",4
"109","GPP_daily_sigma","2",4
"110","ER_daily_mu","-7.1",4
"111","ER_daily_upper","Inf",4
"112","ER_daily_sigma","7.1",4
"113","K600_lnQ_nodediffs_sdlog","0.5",4
"114","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",4
"115","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",4
"116","K600_daily_sigma_sigma","0.24",4
"117","err_obs_iid_sigma_scale","0.03",4
"118","err_proc_iid_sigma_scale","5",4
"119","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",4
"120","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",4
"121","n_chains","4",4
"122","n_cores","12",4
"123","burnin_steps","193",4
"124","saved_steps","219",4
"125","thin_steps","1",4
"126","verbose","FALSE",4
"127","init.K600.daily","23.76",4
"128","Station 1 Time","4.22 mins",4
"129","model_name","b_Kb_oipi_tr_plrckm.stan",5
"130","engine","stan",5
"131","split_dates","FALSE",5
"132","keep_mcmcs","TRUE",5
"133","keep_mcmc_data","TRUE",5
"134","day_start","4",5
"135","day_end","28",5
"136","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",5
"137","required_timestep","NA",5
"138","K600_lnQ_nodes_centers","-3:3",5
"139","GPP_daily_mu","3",5
"140","GPP_daily_lower","-Inf",5
"141","GPP_daily_sigma","2",5
"142","ER_daily_mu","-7.1",5
"143","ER_daily_upper","Inf",5
"144","ER_daily_sigma","7.1",5
"145","K600_lnQ_nodediffs_sdlog","0.5",5
"146","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",5
"147","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",5
"148","K600_daily_sigma_sigma","0.24",5
"149","err_obs_iid_sigma_scale","0.03",5
"150","err_proc_iid_sigma_scale","5",5
"151","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",5
"152","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",5
"153","n_chains","4",5
"154","n_cores","12",5
"155","burnin_steps","324",5
"156","saved_steps","484",5
"157","thin_steps","1",5
"158","verbose","FALSE",5
"159","init.K600.daily","8.54",5
"160","Station 1 Time","5.96 mins",5
"161","model_name","b_Kb_oipi_tr_plrckm.stan",6
"162","engine","stan",6
"163","split_dates","FALSE",6
"164","keep_mcmcs","TRUE",6
"165","keep_mcmc_data","TRUE",6
"166","day_start","4",6
"167","day_end","28",6
"168","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",6
"169","required_timestep","NA",6
"170","K600_lnQ_nodes_centers","-3:3",6
"171","GPP_daily_mu","3",6
"172","GPP_daily_lower","-Inf",6
"173","GPP_daily_sigma","2",6
"174","ER_daily_mu","-7.1",6
"175","ER_daily_upper","Inf",6
"176","ER_daily_sigma","7.1",6
"177","K600_lnQ_nodediffs_sdlog","0.5",6
"178","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",6
"179","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",6
"180","K600_daily_sigma_sigma","0.24",6
"181","err_obs_iid_sigma_scale","0.03",6
"182","err_proc_iid_sigma_scale","5",6
"183","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",6
"184","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",6
"185","n_chains","4",6
"186","n_cores","12",6
"187","burnin_steps","295",6
"188","saved_steps","321",6
"189","thin_steps","1",6
"190","verbose","FALSE",6
"191","init.K600.daily","12.07",6
"192","Station 1 Time","11.89 mins",6
"193","model_name","b_Kb_oipi_tr_plrckm.stan",7
"194","engine","stan",7
"195","split_dates","FALSE",7
"196","keep_mcmcs","TRUE",7
"197","keep_mcmc_data","TRUE",7
"198","day_start","4",7
"199","day_end","28",7
"200","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",7
"201","required_timestep","NA",7
"202","K600_lnQ_nodes_centers","-3:3",7
"203","GPP_daily_mu","3",7
"204","GPP_daily_lower","-Inf",7
"205","GPP_daily_sigma","2",7
"206","ER_daily_mu","-7.1",7
"207","ER_daily_upper","Inf",7
"208","ER_daily_sigma","7.1",7
"209","K600_lnQ_nodediffs_sdlog","0.5",7
"210","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",7
"211","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",7
"212","K600_daily_sigma_sigma","0.24",7
"213","err_obs_iid_sigma_scale","0.03",7
"214","err_proc_iid_sigma_scale","5",7
"215","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",7
"216","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",7
"217","n_chains","4",7
"218","n_cores","12",7
"219","burnin_steps","391",7
"220","saved_steps","469",7
"221","thin_steps","1",7
"222","verbose","FALSE",7
"223","init.K600.daily","6.09",7
"224","Station 1 Time","4.31 mins",7
"225","model_name","b_Kb_oipi_tr_plrckm.stan",8
"226","engine","stan",8
"227","split_dates","FALSE",8
"228","keep_mcmcs","TRUE",8
"229","keep_mcmc_data","TRUE",8
"230","day_start","4",8
"231","day_end","28",8
"232","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",8
"233","required_timestep","NA",8
"234","K600_lnQ_nodes_centers","-3:3",8
"235","GPP_daily_mu","3",8
"236","GPP_daily_lower","-Inf",8
"237","GPP_daily_sigma","2",8
"238","ER_daily_mu","-7.1",8
"239","ER_daily_upper","Inf",8
"240","ER_daily_sigma","7.1",8
"241","K600_lnQ_nodediffs_sdlog","0.5",8
"242","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",8
"243","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",8
"244","K600_daily_sigma_sigma","0.24",8
"245","err_obs_iid_sigma_scale","0.03",8
"246","err_proc_iid_sigma_scale","5",8
"247","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",8
"248","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",8
"249","n_chains","4",8
"250","n_cores","12",8
"251","burnin_steps","356",8
"252","saved_steps","313",8
"253","thin_steps","1",8
"254","verbose","FALSE",8
"255","init.K600.daily","24.37",8
"256","Station 1 Time","7.19 mins",8
"257","model_name","b_Kb_oipi_tr_plrckm.stan",9
"258","engine","stan",9
"259","split_dates","FALSE",9
"260","keep_mcmcs","TRUE",9
"261","keep_mcmc_data","TRUE",9
"262","day_start","4",9
"263","day_end","28",9
"264","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",9
"265","required_timestep","NA",9
"266","K600_lnQ_nodes_centers","-3:3",9
"267","GPP_daily_mu","3",9
"268","GPP_daily_lower","-Inf",9
"269","GPP_daily_sigma","2",9
"270","ER_daily_mu","-7.1",9
"271","ER_daily_upper","Inf",9
"272","ER_daily_sigma","7.1",9
"273","K600_lnQ_nodediffs_sdlog","0.5",9
"274","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",9
"275","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",9
"276","K600_daily_sigma_sigma","0.24",9
"277","err_obs_iid_sigma_scale","0.03",9
"278","err_proc_iid_sigma_scale","5",9
