"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",12
"2","engine","stan",12
"3","split_dates","FALSE",12
"4","keep_mcmcs","TRUE",12
"5","keep_mcmc_data","TRUE",12
"6","day_start","4",12
"7","day_end","28",12
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",12
"9","required_timestep","NA",12
"10","K600_lnQ_nodes_centers","-3:3",12
"11","GPP_daily_mu","3",12
"12","GPP_daily_lower","-Inf",12
"13","GPP_daily_sigma","2",12
"14","ER_daily_mu","-7.1",12
"15","ER_daily_upper","Inf",12
"16","ER_daily_sigma","7.1",12
"17","K600_lnQ_nodediffs_sdlog","0.5",12
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",12
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",12
"20","K600_daily_sigma_sigma","0.24",12
"21","err_obs_iid_sigma_scale","0.03",12
"22","err_proc_iid_sigma_scale","5",12
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",12
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",12
"25","n_chains","4",12
"26","n_cores","12",12
"27","burnin_steps","391",12
"28","saved_steps","282",12
"29","thin_steps","1",12
"30","verbose","FALSE",12
"31","init.K600.daily","190.49",12
"32","Station 2 Time","9.85 mins",12
