"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",7
"2","engine","stan",7
"3","split_dates","FALSE",7
"4","keep_mcmcs","TRUE",7
"5","keep_mcmc_data","TRUE",7
"6","day_start","4",7
"7","day_end","28",7
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",7
"9","required_timestep","NA",7
"10","K600_lnQ_nodes_centers","-3:3",7
"11","GPP_daily_mu","3",7
"12","GPP_daily_lower","-Inf",7
"13","GPP_daily_sigma","2",7
"14","ER_daily_mu","-7.1",7
"15","ER_daily_upper","Inf",7
"16","ER_daily_sigma","7.1",7
"17","K600_lnQ_nodediffs_sdlog","0.5",7
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",7
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",7
"20","K600_daily_sigma_sigma","0.24",7
"21","err_obs_iid_sigma_scale","0.03",7
"22","err_proc_iid_sigma_scale","5",7
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",7
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",7
"25","n_chains","4",7
"26","n_cores","12",7
"27","burnin_steps","272",7
"28","saved_steps","599",7
"29","thin_steps","1",7
"30","verbose","FALSE",7
"31","init.K600.daily","36.08",7
"32","Station 2 Time","10.68 mins",7
