"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",6
"2","engine","stan",6
"3","split_dates","FALSE",6
"4","keep_mcmcs","TRUE",6
"5","keep_mcmc_data","TRUE",6
"6","day_start","4",6
"7","day_end","28",6
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",6
"9","required_timestep","NA",6
"10","K600_lnQ_nodes_centers","-3:3",6
"11","GPP_daily_mu","3",6
"12","GPP_daily_lower","-Inf",6
"13","GPP_daily_sigma","2",6
"14","ER_daily_mu","-7.1",6
"15","ER_daily_upper","Inf",6
"16","ER_daily_sigma","7.1",6
"17","K600_lnQ_nodediffs_sdlog","0.5",6
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",6
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",6
"20","K600_daily_sigma_sigma","0.24",6
"21","err_obs_iid_sigma_scale","0.03",6
"22","err_proc_iid_sigma_scale","5",6
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",6
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",6
"25","n_chains","4",6
"26","n_cores","12",6
"27","burnin_steps","333",6
"28","saved_steps","272",6
"29","thin_steps","1",6
"30","verbose","FALSE",6
"31","init.K600.daily","32.82",6
"32","Station 2 Time","6.37 mins",6
