"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",4
"2","engine","stan",4
"3","split_dates","FALSE",4
"4","keep_mcmcs","TRUE",4
"5","keep_mcmc_data","TRUE",4
"6","day_start","4",4
"7","day_end","28",4
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"", ""pos_depth"")",4
"9","required_timestep","NA",4
"10","K600_lnQ_nodes_centers","-3:3",4
"11","GPP_daily_mu","3",4
"12","GPP_daily_lower","-Inf",4
"13","GPP_daily_sigma","2",4
"14","ER_daily_mu","-7.1",4
"15","ER_daily_upper","Inf",4
"16","ER_daily_sigma","7.1",4
"17","K600_lnQ_nodediffs_sdlog","0.5",4
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",4
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",4
"20","K600_daily_sigma_sigma","0.24",4
"21","err_obs_iid_sigma_scale","0.03",4
"22","err_proc_iid_sigma_scale","5",4
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",4
"24","params_out","c(""GPP"", ""ER"", ""DO_R2"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",4
"25","n_chains","4",4
"26","n_cores","12",4
"27","burnin_steps","121",4
"28","saved_steps","468",4
"29","thin_steps","1",4
"30","verbose","FALSE",4
"31","init.K600.daily","20.38",4
"32","Station 2 Time","14.47 mins",4
