"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",20
"2","engine","stan",20
"3","split_dates","FALSE",20
"4","keep_mcmcs","TRUE",20
"5","keep_mcmc_data","TRUE",20
"6","day_start","4",20
"7","day_end","28",20
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"", ""pos_depth"")",20
"9","required_timestep","NA",20
"10","K600_lnQ_nodes_centers","-3:3",20
"11","GPP_daily_mu","3",20
"12","GPP_daily_lower","-Inf",20
"13","GPP_daily_sigma","2",20
"14","ER_daily_mu","-7.1",20
"15","ER_daily_upper","Inf",20
"16","ER_daily_sigma","7.1",20
"17","K600_lnQ_nodediffs_sdlog","0.5",20
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",20
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",20
"20","K600_daily_sigma_sigma","0.24",20
"21","err_obs_iid_sigma_scale","0.03",20
"22","err_proc_iid_sigma_scale","5",20
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",20
"24","params_out","c(""GPP"", ""ER"", ""DO_R2"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",20
"25","n_chains","4",20
"26","n_cores","12",20
"27","burnin_steps","207",20
"28","saved_steps","527",20
"29","thin_steps","1",20
"30","verbose","FALSE",20
"31","init.K600.daily","385.67",20
"32","Station 2 Time","21.06 mins",20
