"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",36
"2","engine","stan",36
"3","split_dates","FALSE",36
"4","keep_mcmcs","TRUE",36
"5","keep_mcmc_data","TRUE",36
"6","day_start","4",36
"7","day_end","28",36
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",36
"9","required_timestep","NA",36
"10","K600_lnQ_nodes_centers","-3:3",36
"11","GPP_daily_mu","3",36
"12","GPP_daily_lower","-Inf",36
"13","GPP_daily_sigma","2",36
"14","ER_daily_mu","-7.1",36
"15","ER_daily_upper","Inf",36
"16","ER_daily_sigma","7.1",36
"17","K600_lnQ_nodediffs_sdlog","0.5",36
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",36
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",36
"20","K600_daily_sigma_sigma","0.24",36
"21","err_obs_iid_sigma_scale","0.03",36
"22","err_proc_iid_sigma_scale","5",36
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",36
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",36
"25","n_chains","4",36
"26","n_cores","12",36
"27","burnin_steps","362",36
"28","saved_steps","293",36
"29","thin_steps","1",36
"30","verbose","FALSE",36
"31","init.K600.daily","171.75",36
"32","Station 4 Time","5.58 mins",36
