"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",92
"2","engine","stan",92
"3","split_dates","FALSE",92
"4","keep_mcmcs","TRUE",92
"5","keep_mcmc_data","TRUE",92
"6","day_start","4",92
"7","day_end","28",92
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",92
"9","required_timestep","NA",92
"10","K600_lnQ_nodes_centers","-3:3",92
"11","GPP_daily_mu","3",92
"12","GPP_daily_lower","-Inf",92
"13","GPP_daily_sigma","2",92
"14","ER_daily_mu","-7.1",92
"15","ER_daily_upper","Inf",92
"16","ER_daily_sigma","7.1",92
"17","K600_lnQ_nodediffs_sdlog","0.5",92
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",92
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",92
"20","K600_daily_sigma_sigma","0.24",92
"21","err_obs_iid_sigma_scale","0.03",92
"22","err_proc_iid_sigma_scale","5",92
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",92
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",92
"25","n_chains","4",92
"26","n_cores","12",92
"27","burnin_steps","381",92
"28","saved_steps","529",92
"29","thin_steps","1",92
"30","verbose","FALSE",92
"31","init.K600.daily","130.44",92
"32","Station 4 Time","5.68 mins",92
