"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",72
"2","engine","stan",72
"3","split_dates","FALSE",72
"4","keep_mcmcs","TRUE",72
"5","keep_mcmc_data","TRUE",72
"6","day_start","4",72
"7","day_end","28",72
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",72
"9","required_timestep","NA",72
"10","K600_lnQ_nodes_centers","-3:3",72
"11","GPP_daily_mu","3",72
"12","GPP_daily_lower","-Inf",72
"13","GPP_daily_sigma","2",72
"14","ER_daily_mu","-7.1",72
"15","ER_daily_upper","Inf",72
"16","ER_daily_sigma","7.1",72
"17","K600_lnQ_nodediffs_sdlog","0.5",72
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",72
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",72
"20","K600_daily_sigma_sigma","0.24",72
"21","err_obs_iid_sigma_scale","0.03",72
"22","err_proc_iid_sigma_scale","5",72
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",72
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",72
"25","n_chains","4",72
"26","n_cores","12",72
"27","burnin_steps","353",72
"28","saved_steps","520",72
"29","thin_steps","1",72
"30","verbose","FALSE",72
"31","init.K600.daily","72.42",72
"32","Station 4 Time","8.55 mins",72
