"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",85
"2","engine","stan",85
"3","split_dates","FALSE",85
"4","keep_mcmcs","TRUE",85
"5","keep_mcmc_data","TRUE",85
"6","day_start","4",85
"7","day_end","28",85
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"")",85
"9","required_timestep","NA",85
"10","K600_lnQ_nodes_centers","-3:3",85
"11","GPP_daily_mu","3",85
"12","GPP_daily_lower","-Inf",85
"13","GPP_daily_sigma","2",85
"14","ER_daily_mu","-7.1",85
"15","ER_daily_upper","Inf",85
"16","ER_daily_sigma","7.1",85
"17","K600_lnQ_nodediffs_sdlog","0.5",85
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",85
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",85
"20","K600_daily_sigma_sigma","0.24",85
"21","err_obs_iid_sigma_scale","0.03",85
"22","err_proc_iid_sigma_scale","5",85
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",85
"24","params_out","c(""GPP"", ""ER"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",85
"25","n_chains","4",85
"26","n_cores","12",85
"27","burnin_steps","121",85
"28","saved_steps","218",85
"29","thin_steps","1",85
"30","verbose","FALSE",85
"31","init.K600.daily","189.1",85
"32","Station 4 Time","3.19 mins",85
