"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",9
"2","engine","stan",9
"3","split_dates","FALSE",9
"4","keep_mcmcs","TRUE",9
"5","keep_mcmc_data","TRUE",9
"6","day_start","4",9
"7","day_end","28",9
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"", ""pos_depth"")",9
"9","required_timestep","NA",9
"10","K600_lnQ_nodes_centers","-3:3",9
"11","GPP_daily_mu","3",9
"12","GPP_daily_lower","-Inf",9
"13","GPP_daily_sigma","2",9
"14","ER_daily_mu","-7.1",9
"15","ER_daily_upper","Inf",9
"16","ER_daily_sigma","7.1",9
"17","K600_lnQ_nodediffs_sdlog","0.5",9
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",9
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",9
"20","K600_daily_sigma_sigma","0.24",9
"21","err_obs_iid_sigma_scale","0.03",9
"22","err_proc_iid_sigma_scale","5",9
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",9
"24","params_out","c(""GPP"", ""ER"", ""DO_R2"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",9
"25","n_chains","4",9
"26","n_cores","12",9
"27","burnin_steps","120",9
"28","saved_steps","529",9
"29","thin_steps","1",9
"30","verbose","FALSE",9
"31","init.K600.daily","14.42",9
"32","Station 2 Time","11.06 mins",9
