"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",15
"2","engine","stan",15
"3","split_dates","FALSE",15
"4","keep_mcmcs","TRUE",15
"5","keep_mcmc_data","TRUE",15
"6","day_start","4",15
"7","day_end","28",15
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"", ""pos_depth"")",15
"9","required_timestep","NA",15
"10","K600_lnQ_nodes_centers","-3:3",15
"11","GPP_daily_mu","3",15
"12","GPP_daily_lower","-Inf",15
"13","GPP_daily_sigma","2",15
"14","ER_daily_mu","-7.1",15
"15","ER_daily_upper","Inf",15
"16","ER_daily_sigma","7.1",15
"17","K600_lnQ_nodediffs_sdlog","0.5",15
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",15
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",15
"20","K600_daily_sigma_sigma","0.24",15
"21","err_obs_iid_sigma_scale","0.03",15
"22","err_proc_iid_sigma_scale","5",15
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",15
"24","params_out","c(""GPP"", ""ER"", ""DO_R2"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",15
"25","n_chains","4",15
"26","n_cores","12",15
"27","burnin_steps","171",15
"28","saved_steps","453",15
"29","thin_steps","1",15
"30","verbose","FALSE",15
"31","init.K600.daily","54.78",15
"32","Station 2 Time","29.1 mins",15
