"","Parameter","Value","run"
"1","model_name","b_Kb_oipi_tr_plrckm.stan",22
"2","engine","stan",22
"3","split_dates","FALSE",22
"4","keep_mcmcs","TRUE",22
"5","keep_mcmc_data","TRUE",22
"6","day_start","4",22
"7","day_end","28",22
"8","day_tests","c(""full_day"", ""even_timesteps"", ""complete_data"", ""pos_discharge"", ""pos_depth"")",22
"9","required_timestep","NA",22
"10","K600_lnQ_nodes_centers","-3:3",22
"11","GPP_daily_mu","3",22
"12","GPP_daily_lower","-Inf",22
"13","GPP_daily_sigma","2",22
"14","ER_daily_mu","-7.1",22
"15","ER_daily_upper","Inf",22
"16","ER_daily_sigma","7.1",22
"17","K600_lnQ_nodediffs_sdlog","0.5",22
"18","K600_lnQ_nodes_meanlog","c(2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788, 2.484906649788)",22
"19","K600_lnQ_nodes_sdlog","c(1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32)",22
"20","K600_daily_sigma_sigma","0.24",22
"21","err_obs_iid_sigma_scale","0.03",22
"22","err_proc_iid_sigma_scale","5",22
"23","params_in","c(""GPP_daily_mu"", ""GPP_daily_lower"", ""GPP_daily_sigma"", ""ER_daily_mu"", ""ER_daily_upper"", ""ER_daily_sigma"", ""K600_lnQ_nodediffs_sdlog"", ""K600_lnQ_nodes_meanlog"", ""K600_lnQ_nodes_sdlog"", ""K600_daily_sigma_sigma"", ""err_obs_iid_sigma_scale"", ""err_proc_iid_sigma_scale"")",22
"24","params_out","c(""GPP"", ""ER"", ""DO_R2"", ""GPP_daily"", ""ER_daily"", ""K600_daily"", ""K600_daily_predlog"", ""lnK600_lnQ_nodes"", ""K600_daily_sigma"", ""err_obs_iid_sigma"", ""err_obs_iid"", ""err_proc_iid_sigma"", ""err_proc_iid"")",22
"25","n_chains","4",22
"26","n_cores","12",22
"27","burnin_steps","369",22
"28","saved_steps","224",22
"29","thin_steps","1",22
"30","verbose","FALSE",22
"31","init.K600.daily","37.27",22
"32","Station 2 Time","26.74 mins",22
